web-scraper-order,web-scraper-start-url,name,features,review,location
"1534404658-198","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Golden World Sea View House","Location8.7","",""
"1534404658-219","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","The Galle Heritage Villa","","8.2Very good (100 reviews)",""
"1534404658-213","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Heaven By O","","8.6Excellent (54 reviews)",""
"1534404658-230","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Niyagama House","","","Galle, 4.7 miles to City center"
"1534404658-201","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Richmond Hill Villa","","8.3Very good (74 reviews)",""
"1534404658-228","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Travelers Tree","","","Galle, 0.2 miles away from the beach"
"1534404658-215","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Holiday Home Moon Light Rest","","8.4Very good (65 reviews)",""
"1534404658-231","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Ocean Crest","","","Galle, 10.2 miles to City center"
"1534404658-205","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Niyagama House","","9.1Excellent (156 reviews)",""
"1534404658-246","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Kaju Green Eco Lodges","","","Galle, 3.8 miles to City center"
"1534404658-233","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Amangalla","","","Galle, 0.1 miles away from the beach"
"1534404658-208","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Amangalla","","8.6Excellent (80 reviews)",""
"1534404658-190","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Thambili House","Free WiFiLocation9.0","",""
"1534404658-220","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Yasuri","","7.4 (46 reviews)",""
"1534404658-196","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Niyagama House","Free WiFiCleanliness9.5","",""
"1534404658-223","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Galle Heritage Villa By Jetwing","","8.0Very good (41 reviews)",""
"1534404658-217","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Villa White Queen","","8.5Excellent (39 reviews)",""
"1534404658-238","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Heaven By O","","","Galle, right by the beach"
"1534404658-227","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Taru Villas - 42 Lighthouse Street","","","Galle, 0.2 miles away from the beach"
"1534404658-216","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Atapattu Walawwa House","","7.8Good (38 reviews)",""
"1534404658-194","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Travelers Tree","Location9.2","",""
"1534404658-237","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Pittaniya","","","Galle, 0.3 miles away from the beach"
"1534404658-236","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Apna","","","Galle, 0.2 miles away from the beach"
"1534404658-212","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Pittaniya","","8.5Excellent (96 reviews)",""
"1534404658-247","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Dutch Villa","","","Galle, 0.1 miles away from the beach"
"1534404658-207","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Golden World Sea View House","","8.5Excellent (110 reviews)",""
"1534404658-226","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Richmond Hill Villa","","","Galle, 0.9 miles to City center"
"1534404658-234","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Villa Republic Galle","","","Galle, 0.2 miles away from the beach"
"1534404658-199","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Thambili House","","8.1Very good (21 reviews)",""
